Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,league
横山　雄哉,Tigers,1300,投手,4,183,82,O型,左,左,山形,1994-02-21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
岩貞　祐太,Tigers,3500,投手,5,183,82,A型,左,左,熊本,1991-09-05,17,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,5,6,0,0,0.455,382,91,88,11,24,1,83,34,30,1.23,3.69,C
馬場　皐輔,Tigers,1500,投手,1,180,90,O型,右,右,宮城,1995-05-18,18,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19,0,1,0,0,0,41,8.2,12,2,4,1,7,5,5,1.85,6.24,C
藤浪　晋太郎,Tigers,12e3,投手,6,197,94,A型,右,右,大阪,1994-04-12,19,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.34,2,3,0,0,0.4,210,44,49,1,34,1,43,34,31,1.89,3.85,C
ロサリオ,Tigers,34e3,内野手,1,180,100,不明,右,右,ドミニカ共和国,1989-02-23,20,0.244,74,299,279,68,8,40,0,16,1,71,0,11,0.284,0.376,0.661,3.16,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
岩田　稔,Tigers,5e3,投手,13,179,92,O型,左,左,大阪,1983-10-31,21,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58,0,3,0,0,0,77,17.2,16,3,6,2,18,11,9,1.25,4.48,C
藤川　球児,Tigers,2e4,投手,17,185,85,A型,右,左,高知,1980-07-21,22,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11,4,2,1,16,0.667,178,42.2,22,2,28,1,49,16,10,1.17,3.26,C
江越　大賀,Tigers,1600,外野手,4,182,82,O型,右,両,長崎,1993-03-12,25,0.147,19,34,34,5,1,1,1,0,0,18,0,0,0.147,0.294,0.441,1.05,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
呂　彦青,Tigers,800,投手,1,178,72,O型,左,左,台湾,1996-03-10,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
尾仲　祐哉,Tigers,920,投手,2,173,72,O型,右,左,福岡,1995-01-31,27,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86,0,1,0,0,0,51,11.2,13,1,4,0,14,6,5,1.46,2.86,C
小野　泰己,Tigers,1800,投手,2,186,73,A型,右,右,福岡,1994-05-30,28,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42,7,4,0,0,0.636,428,95.2,93,6,60,3,68,49,47,1.6,4.46,C
髙橋　遥人,Tigers,1200,投手,1,180,78,A型,左,左,静岡,1995-11-07,29,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63,2,3,0,0,0.4,150,34.2,34,4,14,0,27,18,14,1.38,4.19,C
石崎　剛,Tigers,1800,投手,4,183,92,O型,右,右,茨城,1990-09-09,30,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,0,0,0,1,0,65,15,10,2,10,1,23,7,7,1.33,3.99,C
山崎　憲晴,Tigers,1e3,内野手,10,176,80,O型,右,右,静岡,1986-12-13,32,0.222,32,22,18,4,0,2,0,1,0,4,3,0,0.263,0.278,0.541,2.27,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
糸原　健斗,Tigers,1600,内野手,2,175,78,O型,右,左,島根,1992-11-11,33,0.281,106,465,385,108,1,26,4,65,5,54,8,4,0.389,0.356,0.745,5.47,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
谷川　昌希,Tigers,840,投手,1,175,79,O型,右,右,福岡,1992-10-06,34,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.82,1,1,0,0,0.5,62,12.2,17,2,7,2,11,12,11,1.89,5.09,C
才木　浩人,Tigers,600,投手,2,189,80,A型,右,右,兵庫,1998-11-07,35,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42,4,6,0,0,0.4,243,55,53,9,24,4,60,28,27,1.4,4.59,C
浜地　真澄,Tigers,500,投手,2,185,89,O型,右,右,福岡,1998-05-25,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
森越　祐人,Tigers,1e3,内野手,8,178,72,A型,右,右,愛知,1988-08-11,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
マテオ,Tigers,19e3,投手,3,188,107,不明,右,右,ドミニカ共和国,1984-04-18,38,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,0,1,0,4,0,73,14.2,19,2,11,1,13,11,11,2.05,5.37,C
長坂　拳弥,Tigers,720,捕手,2,173,78,B型,右,右,群馬,1994-04-28,39,0.125,9,9,8,1,0,0,0,0,0,1,1,0,0.125,0.25,0.375,0.44,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
福永　春吾,Tigers,680,投手,2,185,93,O型,右,左,大阪,1994-05-14,40,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,0,0,0,0,0,13,2,6,1,2,0,0,5,5,4,12.62,C
髙橋　聡文,Tigers,7e3,投手,17,176,89,A型,左,左,福井,1983-05-29,41,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05,0,0,0,2,0,64,13.1,18,1,5,0,8,6,6,1.73,3.8,C
竹安　大知,Tigers,840,投手,3,183,83,O型,右,右,静岡,1994-09-27,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
守屋　功輝,Tigers,700,投手,4,184,87,A型,右,右,岡山,1993-11-25,43,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.57,0,0,0,0,0,26,4.2,9,1,3,0,2,6,6,2.57,6.98,C
梅野　隆太郎,Tigers,2500,捕手,5,173,78,A型,右,右,福岡,1991-06-17,44,0.239,96,307,255,61,6,29,3,27,1,40,23,1,0.313,0.369,0.682,4.05,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
藤谷　洸介,Tigers,700,投手,2,194,92,A型,右,右,山口,1996-02-12,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
秋山　拓巳,Tigers,4100,投手,9,188,95,A型,右,左,香川,1991-04-26,46,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86,5,10,0,0,0.333,437,105,111,8,18,4,89,46,45,1.23,3.04,C
山本　翔也,Tigers,900,投手,5,183,93,O型,左,左,福井,1988-10-12,47,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,0,0,0,17,3,4,2,4,0,1,5,5,2.67,15.12,C
モレノ,Tigers,5700,投手,1,185,81,不明,右,右,ベネズエラ,1987-07-21,48,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,0,0,0,3,0,28,6.2,8,0,3,0,6,2,2,1.65,2.22,C
今成　亮太,Tigers,3e3,内野手,13,178,79,O型,右,左,埼玉,1987-10-06,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
青柳　晃洋,Tigers,1300,投手,3,183,83,B型,右,右,神奈川,1993-12-11,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
伊藤　隼太,Tigers,1800,外野手,7,177,84,O型,右,左,愛知,1989-05-08,51,0.28,64,110,93,26,1,10,0,16,0,22,1,0,0.385,0.387,0.772,6.1,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
小豆畑　眞也,Tigers,650,捕手,6,182,79,A型,右,右,岐阜,1988-07-22,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
島田　海吏,Tigers,800,外野手,1,175,72,AB型,右,左,熊本,1996-02-06,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
メッセンジャー,Tigers,35e3,投手,9,198,121,不明,右,右,アメリカ,1981-08-13,54,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21,11,6,0,0,0.647,583,140.1,126,6,43,3,122,54,50,1.2,2.9,C
陽川　尚将,Tigers,850,内野手,5,180,85,O型,右,右,大阪,1991-07-17,55,0.248,41,165,149,37,4,27,1,12,4,44,0,4,0.321,0.423,0.744,4.6,4.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
飯田　優也,Tigers,2e3,投手,6,186,86,A型,左,左,兵庫,1990-11-27,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
岡﨑　太一,Tigers,1700,捕手,14,180,77,O型,右,右,奈良,1983-06-20,57,0,6,13,11,0,0,0,0,0,0,2,2,0,0,0,0,-2.15,-1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
荒木　郁也,Tigers,1e3,内野手,8,183,74,B型,右,左,東京,1988-04-25,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
小宮山　慎二,Tigers,850,捕手,15,178,84,A型,右,右,神奈川,1985-11-26,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
中谷　将大,Tigers,3800,外野手,8,187,93,A型,右,右,福岡,1993-01-05,60,0.241,58,176,158,38,3,18,0,12,2,46,1,4,0.299,0.354,0.653,3.36,3.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
望月　惇志,Tigers,500,投手,3,190,89,AB型,右,右,神奈川,1997-08-02,61,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.68,0,0,0,0,0,97,22,23,2,9,0,24,12,9,1.45,3.35,C
植田　海,Tigers,550,内野手,4,175,70,O型,右,両,滋賀,1996-04-19,62,0.217,78,191,157,34,0,0,15,21,1,43,12,4,0.313,0.223,0.536,2.67,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
板山　祐太郎,Tigers,850,外野手,3,180,79,B型,右,左,神奈川,1994-03-27,63,0.154,11,17,13,2,1,2,0,3,0,6,0,1,0.294,0.385,0.679,2.97,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
桑原　謙太朗,Tigers,4500,投手,11,184,85,O型,右,右,三重,1985-10-29,64,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,4,1,0,22,0.8,153,36.1,35,3,6,4,38,14,12,1.13,2.93,C
緒方　凌介,Tigers,750,外野手,6,176,74,O型,右,左,大阪,1990-08-25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
牧　丈一郎,Tigers,480,投手,1,181,81,A型,右,左,京都,1999-09-23,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
岩崎　優,Tigers,4500,投手,5,185,89,B型,左,左,静岡,1991-06-19,67,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.01,1,2,0,8,0.333,210,46.2,51,8,21,3,53,29,26,1.54,4.49,C
俊介,Tigers,5e3,外野手,9,178,76,A型,右,右,福岡,1987-08-17,68,0.204,67,152,142,29,2,12,1,5,0,23,5,4,0.231,0.268,0.499,1.53,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
島本　浩也,Tigers,950,投手,8,176,74,B型,左,左,奈良,1993-02-14,69,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,0,0,0,8,2,2,0,2,0,2,2,2,2,4.12,C
伊藤　和雄,Tigers,700,投手,7,186,96,A型,右,右,埼玉,1989-12-13,92,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.52,0,1,0,0,0,45,9.2,6,1,8,0,12,8,7,1.45,4.46,C
西田　直斗,Tigers,500,内野手,7,186,83,O型,右,左,大阪,1993-04-26,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
原口　文仁,Tigers,2e3,捕手,9,182,92,AB型,右,右,埼玉,1992-03-03,94,0.33,58,100,91,30,1,16,0,7,2,21,0,1,0.39,0.385,0.775,6.1,5.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
歳内　宏明,Tigers,1150,投手,7,184,88,B型,右,右,兵庫,1993-07-19,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
ドリス,Tigers,12500,投手,3,195,109,不明,右,右,ドミニカ共和国,1988-01-10,98,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,1,3,28,1,0.25,172,39.1,38,2,14,2,39,16,11,1.32,2.94,C
ナバーロ,Tigers,3300,内野手,1,183,95,不明,左,左,アメリカ,1986-05-14,99,0.273,34,120,110,30,2,13,0,8,1,29,0,1,0.325,0.391,0.716,4.69,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
石井　将希,Tigers,300,投手,1,180,82,AB型,左,左,群馬,1995-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
横田　慎太郎,Tigers,870,外野手,5,187,89,O型,左,左,鹿児島,1995-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
宮本　秀明,DeNA,750,内野手,1,178,81,O型,右,左,熊本,1996-07-24,00,0.16,21,25,25,4,2,2,4,0,0,8,0,1,0.16,0.4,0.56,1.83,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
桑原　将志,DeNA,8500,外野手,7,174,78,B型,右,右,大阪,1993-07-21,1,0.269,95,317,283,76,7,20,15,25,3,57,6,2,0.334,0.42,0.755,5.36,5.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
ロペス,DeNA,23e3,内野手,6,183,103,不明,右,右,ベネズエラ,1983-11-24,2,0.297,79,330,316,94,18,56,0,12,1,39,0,8,0.324,0.516,0.84,5.81,5.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
梶谷　隆幸,DeNA,12800,外野手,12,180,85,A型,右,左,島根,1988-08-28,3,0.268,41,137,127,34,8,18,5,8,2,21,0,1,0.321,0.52,0.841,5.99,5.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
荒波　翔,DeNA,3e3,外野手,8,179,80,A型,右,左,神奈川,1986-01-25,4,0,11,13,11,0,0,0,0,2,0,4,0,0,0.154,0,0.154,-1.93,-1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
倉本　寿彦,DeNA,7300,内野手,4,180,82,B型,右,左,神奈川,1991-01-07,5,0.228,71,213,206,47,1,13,1,6,0,43,0,5,0.249,0.272,0.521,1.73,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
石川　雄洋,DeNA,5500,内野手,14,183,78,O型,右,左,静岡,1986-07-10,7,0.256,23,58,43,11,0,5,3,9,0,8,4,0,0.37,0.279,0.649,4.04,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
神里　和毅,DeNA,1250,外野手,1,178,81,A型,右,左,沖縄,1994-01-17,8,0.251,86,273,247,62,5,21,15,19,3,68,4,4,0.312,0.393,0.705,3.95,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
大和,DeNA,1e4,内野手,13,177,69,A型,右,両,鹿児島,1987-11-05,9,0.246,83,315,281,69,1,20,7,22,2,45,7,0,0.302,0.338,0.64,3.63,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
戸柱　恭孝,DeNA,3800,捕手,3,179,87,A型,右,左,鹿児島,1990-04-11,10,0.179,25,59,56,10,1,6,0,2,0,9,1,3,0.207,0.268,0.475,0.85,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
東　克樹,DeNA,1500,投手,1,170,76,B型,左,左,三重,1995-11-29,11,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,8,5,0,0,0.615,481,116,105,10,33,1,111,38,36,1.19,3.21,C
阪口　皓亮,DeNA,600,投手,1,186,77,O型,右,左,大阪,1999-08-15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
石田　健大,DeNA,6e3,投手,4,180,85,O型,左,左,広島,1993-03-01,14,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.63,2,7,0,0,0.222,323,72,79,15,26,3,65,53,45,1.46,5.11,C
井納　翔一,DeNA,8500,投手,6,188,94,A型,右,右,東京,1986-05-01,15,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14,4,2,1,8,0.667,180,41.1,45,3,13,1,31,22,19,1.4,3.43,C
加賀　繁,DeNA,3100,投手,9,182,84,B型,右,右,埼玉,1985-04-13,16,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.38,0,0,0,1,0,42,9.2,14,2,0,0,8,9,9,1.45,4.15,C
三嶋　一輝,DeNA,2100,投手,6,176,80,A型,右,両,福岡,1990-05-07,17,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,6,1,0,11,0.857,222,53.1,39,5,24,2,65,16,16,1.18,3.14,C
山﨑　康晃,DeNA,15e3,投手,4,178,85,O型,右,右,東京,1992-10-02,19,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2,4,26,2,0.333,170,41.1,33,4,13,1,44,15,14,1.11,3.05,C
須田　幸太,DeNA,3600,投手,8,176,72,AB型,右,右,茨城,1986-07-31,20,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.59,0,0,0,2,0,44,10.2,10,3,3,0,4,9,9,1.22,6.59,C
今永　昇太,DeNA,8400,投手,3,177,80,A型,左,左,福岡,1993-09-01,21,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,3,7,0,0,0.3,290,62.1,78,14,23,4,58,55,50,1.62,5.33,C
熊原　健人,DeNA,1300,投手,3,178,85,O型,右,左,宮城,1993-10-19,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
大河,DeNA,615,内野手,2,174,75,B型,右,右,大阪,1998-04-05,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
齋藤　俊介,DeNA,950,投手,1,176,83,A型,右,右,千葉,1994-01-07,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
筒香　嘉智,DeNA,35e3,外野手,9,185,97,A型,右,左,和歌山,1991-11-26,25,0.301,108,451,389,117,30,72,0,59,0,88,0,6,0.39,0.609,0.999,8.56,8.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
濵口　遥大,DeNA,4750,投手,2,173,80,B型,左,左,佐賀,1995-03-16,26,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.27,2,5,0,0,0.286,325,71.2,75,8,40,3,76,35,34,1.6,4.17,C
福地　元春,DeNA,750,投手,4,182,94,O型,左,左,沖縄,1990-06-21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
伊藤　光,DeNA,5500,捕手,11,180,83,B型,右,右,愛知,1989-04-23,29,0.222,26,84,72,16,1,5,1,10,2,16,0,2,0.333,0.306,0.639,3.67,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
飯塚　悟史,DeNA,850,投手,4,188,85,A型,右,左,新潟,1996-10-11,30,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,1,5,0,0,0.167,180,40.2,46,6,20,1,31,20,19,1.62,4.84,C
柴田　竜拓,DeNA,2300,内野手,3,167,68,O型,右,左,岡山,1993-12-16,31,0.232,85,198,168,39,3,11,2,24,4,35,2,3,0.342,0.321,0.663,4.12,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
乙坂　智,DeNA,2100,外野手,7,182,83,O型,右,左,神奈川,1994-01-06,33,0.164,58,79,67,11,0,4,3,9,0,19,2,0,0.26,0.194,0.454,1.52,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
平田　真吾,DeNA,1500,投手,5,182,80,A型,右,右,山口,1989-08-29,34,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57,0,0,0,0,0,111,24.2,33,3,6,0,25,18,18,1.58,3.4,C
三上　朋也,DeNA,8750,投手,5,190,90,AB型,右,右,岐阜,1989-04-10,35,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04,1,1,0,17,0.5,197,47.1,44,3,16,1,34,16,16,1.27,3.33,C
狩野　行寿,DeNA,700,内野手,2,180,80,B型,右,右,埼玉,1994-07-31,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
楠本　泰史,DeNA,700,外野手,1,180,77,A型,右,左,大阪,1995-07-07,37,0.196,39,63,56,11,0,2,2,5,2,13,0,0,0.286,0.25,0.536,2.54,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
山下　幸輝,DeNA,1140,内野手,4,173,72,B型,右,左,千葉,1993-01-31,38,0.233,20,62,60,14,1,3,0,0,0,11,2,1,0.233,0.317,0.55,2.12,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
嶺井　博希,DeNA,1900,捕手,5,175,85,B型,右,右,沖縄,1991-06-04,39,0.174,69,182,167,29,3,17,0,5,6,47,3,8,0.223,0.257,0.481,1.04,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
