Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,league
中田　廉,Carp,3300,投手,10,189,95,AB型,右,右,大阪,1990-07-21,26,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.68,0,1,0,2,0,59,10.1,20,2,8,0,10,19,18,2.71,5.15,C
會澤　翼,Carp,5e3,捕手,12,177,91,B型,右,右,茨城,1988-04-13,27,0.322,77,283,239,77,12,35,0,28,10,40,3,4,0.411,0.527,0.938,8.08,7.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
床田　寛樹,Carp,700,投手,2,181,85,A型,左,左,兵庫,1995-03-01,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
ケムナ　誠,Carp,700,投手,1,192,91,B型,右,右,アメリカ,1995-06-05,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
一岡　竜司,Carp,5300,投手,7,179,86,O型,右,右,福岡,1991-01-11,30,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.76,3,6,1,12,0.333,175,40.2,36,7,16,0,41,19,17,1.28,4.45,C
石原　慶幸,Carp,9e3,捕手,17,177,90,A型,右,右,岐阜,1979-09-07,31,0.179,49,87,78,14,1,5,0,4,1,20,3,3,0.226,0.218,0.444,0.88,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
白濱　裕太,Carp,650,捕手,15,180,92,A型,右,右,大阪,1985-10-31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
菊池　涼介,Carp,19e3,内野手,7,171,72,A型,右,右,東京,1990-03-11,33,0.242,110,506,446,108,11,44,8,38,3,92,18,2,0.305,0.37,0.675,4.07,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
高橋　昂也,Carp,600,投手,2,181,87,A型,左,左,埼玉,1998-09-27,34,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.45,1,1,0,0,0.5,99,19.1,28,4,12,0,16,17,16,2.07,6.02,C
下水流　昂,Carp,1e3,外野手,6,178,88,A型,右,右,神奈川,1988-04-23,35,0.266,65,87,79,21,4,12,0,6,0,25,2,5,0.318,0.43,0.748,3.82,3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
塹江　敦哉,Carp,650,投手,4,178,86,A型,左,左,香川,1997-02-21,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
野間　峻祥,Carp,1600,外野手,4,180,83,B型,右,左,兵庫,1993-01-28,37,0.302,93,295,268,81,4,35,14,20,4,43,2,2,0.358,0.407,0.765,5.7,5.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
